Date,Open,High,Low,Close,Adj Close,Volume
2004-09-01,12800.000000,13650.000000,12700.000000,13000.000000,7891.330566,24846500
2004-10-01,13000.000000,13300.000000,12350.000000,12750.000000,7739.573242,24923000
2004-11-01,12750.000000,13400.000000,12650.000000,13350.000000,8103.789551,27058000
2004-12-01,13350.000000,13750.000000,12550.000000,13550.000000,8225.193359,28575000
2005-01-01,13500.000000,17300.000000,13200.000000,16850.000000,10228.378906,29587500
2005-02-01,17000.000000,17500.000000,15300.000000,15400.000000,9348.192383,17310000
2005-03-01,15600.000000,18700.000000,15500.000000,16100.000000,9773.110352,23509000
2005-04-01,16200.000000,16750.000000,15000.000000,15100.000000,9166.084961,8079500
2005-05-01,15100.000000,15200.000000,12550.000000,12900.000000,7830.628418,30912000
2005-06-01,12900.000000,13100.000000,11700.000000,12650.000000,7678.869629,34630500
2005-07-01,12650.000000,13350.000000,12650.000000,12850.000000,7800.276367,21549500
2005-08-01,12850.000000,12900.000000,9600.000000,11000.000000,6938.109375,27505500
2005-09-01,10950.000000,11500.000000,10300.000000,10900.000000,6875.037109,6950508
2005-10-01,11000.000000,11350.000000,9700.000000,10200.000000,6433.520508,6081056
2005-11-01,10350.000000,10950.000000,9900.000000,10950.000000,6906.573242,3046560
2005-12-01,10850.000000,11850.000000,10700.000000,11650.000000,7348.090820,2341064
2006-01-01,11500.000000,12550.000000,10600.000000,10800.000000,6811.962891,2043060
2006-02-01,10700.000000,11250.000000,10400.000000,11000.000000,6938.109375,6596556
2006-03-01,11000.000000,11400.000000,10050.000000,10500.000000,6622.742676,1885564
2006-04-01,10900.000000,11600.000000,10300.000000,10550.000000,6654.277832,5113560
2006-05-01,10550.000000,11400.000000,9200.000000,9550.000000,6023.540527,6456056
2006-06-01,9600.000000,9850.000000,9150.000000,9500.000000,5992.004883,3912564
2006-07-01,9350.000000,9850.000000,9150.000000,9300.000000,5865.857910,6436548
2006-08-01,9300.000000,10300.000000,8650.000000,10100.000000,6711.112305,2029556
2006-09-01,10300.000000,11050.000000,9900.000000,10350.000000,6877.229492,3134072
