publishedAt,user,comment,likeCount,comment (clean)
2023-05-27T07:20:47Z,Kamal Yusuf,Bapak Ganjar Pranowo cerdas dan pintar dalam berpikir terutama dalam membuat dan menetapkan suatu keputusan.,3,bapak ganjar pranowo cerdas dan pintar dalam berpikir terutama dalam membuat dan menetapkan suatu keputusan
2023-05-27T01:20:48Z,Dias story,"Coba klo yg di tanya anis pasti jawabanya muter2... 😅, .krna anis padainya merangkai kata2 tp klo di tannya spontan habis kata2nya...😅",0,coba kalo yang di tanya anis pasti jawabanya muter karena anis padainya merangkai kata kata tapi kalo di tannya spontan habis kata katanya 
2023-05-26T22:43:01Z,Biman Zoning,"&quot;Setelah ibu bilang begitu, Pak Ganjar pulang Bareng saya&quot; 😅 kayak agak aneh kalimatnya pak Ganjar.. 😊 menit <a href=""https://www.youtube.com/watch?v=_HwJW5f5jFQ&amp;t=1m14s"">1:14</a>",0,setelah ibu bilang begitu pak ganjar pulang bareng saya kayak agak aneh kalimatnya pak ganjar menit 
2023-05-26T19:57:32Z,jono jono,"tegas,lugas,efisien gak mencla-mencle...semoga semesta mendukung pak GANJAR PRANOWO R-1 <br>(kalo bisa cawapresnya pak.MAFUD MD)<br>buat &quot;COUNTER&quot; produk² orde baru lainnya yg udah senja masih gila kekuasaaan..sya rasa itu.",1,tegas lugas efisien enggak mencla mencle semoga semesta mendukung pak ganjar pranowo r kalo bisa cawapresnya pak mafud md buat counter produk² orde baru lainnya yang sudah senja masih gila kekuasaaan saya rasa itu
2023-05-26T17:41:40Z,Wiraspro Multimedia,Cara jawab nya sat set... kelihatan kalau orang pintar pak ganjar,0,cara jawab nya sat set kelihatan kalau orang pintar pak ganjar
2023-05-26T13:00:48Z,Heru Suprayogi,Mantaab,0,mantaab
2023-05-25T19:14:00Z,Robi Dana,Pak Ganjar Capres Bagus  koalisi PDI perjuangan Tenagah Kontrak  Banyak PHK WNI Cina Banyak WNI Asli Buruh,1,pak ganjar capres bagus koalisi pdi perjuangan tenagah kontrak banyak phk wni cina banyak wni asli buruh
2023-05-25T15:46:49Z,Muh Bakri,😎 pak ganjar,0, pak ganjar
2023-05-25T15:41:00Z,Febry Alviandsyah,wadas apa kabar wadas. coba buka mata nya tolong lah!!!,1,wadas apa kabar wadas coba buka mata nya tolong lah
2023-05-25T14:25:52Z,Syaifuddin,"Track record pimpinannya ada yg tau gak?<br>Srius nanya, soalnya gak tau",0,track record pimpinannya ada yang tau enggak srius bertanya soalnya enggak tau
2023-05-25T05:21:48Z,mawar,"Hanya orang orang yg tidak berperikemanusiaan dan yg berpikir seperti teroris yg memilih Ganjar jadi pemimpin Negara, diIndonesia bukan hanya Islam, Padahal Kehidupan Rakyat Indonesia masih banyak yg bodoh dan miskin tapi berlagak seperti manusia yg paling pintar dan paling kuat Dimata dunia, pakai tolak tolak Israel segala, mencerminkan kebodohan dan berfikir sempit tidak mampu menjalin hubungan diplomasi terhadap Israel. karna emang radikal agama dan kebencian terhadap Israel. Ganjar ni tidak pantas menjadi pemimpin NKRI,",0,hanya orang orang yang tidak berperikemanusiaan dan yang berpikir seperti teroris yang memilih ganjar jadi pemimpin negara diindonesia bukan hanya islam padahal kehidupan rakyat indonesia masih banyak yang bodoh dan miskin tapi berlagak seperti manusia yang paling pintar dan paling kuat dimata dunia pakai tolak tolak israel segala mencerminkan kebodohan dan berpikir sempit tidak mampu menjalin hubungan diplomasi terhadap israel karena memang radikal agama dan kebencian terhadap israel ganjar nih tidak pantas menjadi pemimpin nkri
2023-05-25T04:58:14Z,Yadii Tarjo,Kita lanjutkan cita2 Jokowi yang tertunda,0,kita lanjutkan cita cita jokowi yang tertunda
2023-05-24T15:03:23Z,Wahyu Qiroen,PDIP Anti Pengajian kasihan PAK GANJAR PRANOWO,0,pdip anti pengajian kasihan pak ganjar pranowo
2023-05-24T15:02:34Z,Wong Uelek,Bravo PK Anies presiden terbukti di lapangan berjuta juta mendukung PK Anies.,0,bravo pakai anies presiden terbukti di lapangan berjuta juta mendukung pakai anies
2023-05-24T15:02:11Z,Wahyu Qiroen,ANIS DAN AHY,0,anis dan ahy
2023-05-24T15:01:44Z,Wahyu Qiroen,"GANJAR PRANOWO pilihan rakyat, sekarang diusung PDIP rakyat pindah pilihan",0,ganjar pranowo pilihan rakyat sekarang diusung pdip rakyat pindah pilihan
2023-05-24T12:21:08Z,Les mrng,Memimpin provinsi ajha gx becus mau loncat jadi RI1 hedeh indonesiaku kapan maju negara ini.,0,memimpin provinsi saja enggak becus mau loncat jadi ri hedeh indonesiaku kapan maju negara ini
2023-05-24T12:17:18Z,Les mrng,Siap mengikutin printah BOS BOS..,0,siap mengikutin printah bos bos
2023-05-24T06:33:04Z,Suria Yadi,"Najwa,Kenapa belum wawancara pak anies baswedan….⁉️🤔",0,najwa kenapa belum wawancara pak anies baswedan 
2023-05-23T16:56:53Z,panary,"Matang dalam berpolitik, tidak menjatuhkan lawan sebelah. Sudah sepantasnya untuk memimpin NKRI.❤",8,matang dalam berpolitik tidak menjatuhkan lawan sebelah sudah sepantasnya untuk memimpin nkri 
2023-05-23T16:51:08Z,M S,"<a href=""https://www.youtube.com/watch?v=_HwJW5f5jFQ&amp;t=48m00s"">48:00</a> udah offensive aja bro wkwkwk",0, sudah offensive saja bro wkwkwk
2023-05-23T15:45:54Z,batara gaming,kata&quot; ny sangat manis ya adik&quot;.. Tapi realita ny..?? Akh sudah lah..🤔,0,kata nya sangat manis ya adik tapi realita nya akh sudah lah 
2023-05-23T08:17:58Z,Septian Yoen,Rumahnya dekat stasiun kutoarjo itu wkwkwkw,0,rumahnya dekat stasiun kutoarjo itu wkwkwkw
2023-05-23T05:56:13Z,Firmanda Putra,Saya dukung pa Ganjar menjadi penerus pa jokowi untuk indonesia maju 2045,0,saya dukung apa ganjar menjadi penerus apa jokowi untuk indonesia maju 
2023-05-22T20:15:17Z,Erico Saputra,"Mahkota itu akan memilih sendiri Rajanya, bahkan Gibran tau siapa yg layak jadi raja",0,mahkota itu akan memilih sendiri rajanya bahkan gibran tau siapa yang layak jadi raja
2023-05-22T18:35:07Z,AyasaCream,Nonton bapak jateng malah iklan terus jadi ngga fokus pak ganjar ngobrolnya😭,0,menonton bapak jateng malah iklan terus jadi enggak fokus pak ganjar ngobrolnya
2023-05-22T18:09:23Z,apen hartono,"Tolong tolong tolong<br>@mbak_najwa tolong undang nur aini kuli panggul semen yg cantik dari sulawesi. Sangat inspiratif, tolong ya @mbak_najwa",0,tolong tolong tolong mbak najwa tolong undang nur aini kuli panggul semen yang cantik dari sulawesi sangat inspiratif tolong ya mbak najwa
2023-05-22T13:59:43Z,ansani ihsan,"Pengakuan ganjar jujur bahwa dia gagal pimpin jateng,,,dan dia suka lihat video porno....akal sehat ,,,,tak mungkin pilih org yg gagal",0,pengakuan ganjar jujur bahwa dia gagal pimpin jateng dan dia suka lihat video porno akal sehat tak mungkin pilih orang yang gagal
2023-05-22T06:43:49Z,pegipegidotcom,Yg komen pada dibayar kubu bantenk?,0,yang komen pada dibayar kubu bantenk
2023-05-22T01:50:36Z,Edi Winardi,"Mbak Nana jurnalis keren, ayo mbak kita dukung pak Ganjar Pranowo RI 1.",3,mbak nana jurnalis keren ayo mbak kita dukung pak ganjar pranowo ri 
2023-05-21T21:38:45Z,Humam Dobong,Cerdas banget tas tes jawabanya,0,cerdas banget tas tes jawabanya
2023-05-21T20:53:03Z,Monyet Belagak,Hanya pak ganjar yg berani maju sama org2 hebat di Indonesia apa lagi di negara terus maju pakganjar semngat,2,hanya pak ganjar yang berani maju sama orang orang hebat di indonesia apa lagi di negara terus maju pakganjar semangat
2023-05-21T14:46:16Z,Reza Ardiansyah,Semoga pak Ganjar bisa jdi presiden RI 2024 🤲🤲🤲,0,semoga pak ganjar bisa jadi presiden ri 
